trans_code,vehicle_type,dist_seq,distribute_lea_tm,distribute_arr_tm,distance,trans_cost,charge_cost,wait_cost,fixed_use_cost,total_cost,charge_cnt
DP0001,1,0;911;943;1080;887;1094;685;873;1043;919;0,08:39,15:21,106818,1281.82,150,0.00,200,1631.82,3
DP0002,1,0;927;821;901;671;1097;758;877;918;1055;0,08:11,16:23,165132,1981.58,100,7.60,200,2289.18,2
DP0003,2,0;751;1071;891;730;1090;680;815;923;0,08:23,14:46,115421,1615.89,100,0.00,300,2015.89,2
DP0004,1,0;813;695;703;1078;854;1092;898;750;789;1077;0,08:43,16:50,143814,1725.77,150,3.60,200,2079.37,3
DP0005,1,0;755;1087;924;1068;687;892;765;772;1019;0,08:18,16:45,175784,2109.41,150,8.40,200,2467.81,3
DP0006,1,0;863;868;907;1061;808;855;676;803;692;1030;0,08:34,16:10,124708,1496.50,100,0.00,200,1796.50,2
DP0007,1,0;722;729;775;762;1083;889;787;829;857;1059;0,08:07,17:21,192674,2312.09,100,6.80,200,2618.89,2
DP0008,1,0;874;1051;995;786;913;1008;0,09:18,16:22,120320,1443.84,100,38.40,200,1782.24,2
DP0009,1,0;756;794;686;1026;1040;882;912;942;883;1037;0,08:54,17:12,153970,1847.64,150,4.00,200,2201.64,3
DP0010,1,0;809;930;966;859;900;1002;879;836;864;915;1024;0,08:26,17:24,169714,2036.57,100,0.00,200,2336.57,2
DP0011,1,0;953;985;1089;926;833;1007;731;905;1027;0,08:00,16:55,216381,2596.57,150,0.00,200,2946.57,3
DP0012,2,0;720;986;691;774;858;0,08:44,15:27,153086,2143.20,0,26.40,300,2469.60,0
DP0013,1,0;744;743;1009;674;725;965;757;0,08:09,15:01,158798,1905.58,50,3.20,200,2158.78,1
DP0014,1,0;871;917;959;957;869;888;1082;0,09:05,17:17,177635,2131.62,50,26.00,200,2407.62,1
DP0015,1,0;792;878;1033;769;963;711;948;964;0,08:11,15:47,167841,2014.09,50,4.40,200,2268.49,1
DP0016,1,0;1054;733;1053;760;984;708;1074;0,08:00,16:43,192877,2314.52,150,31.20,200,2695.72,3
DP0017,1,0;797;1006;976;823;1031;890;706;1085;0,08:48,16:05,159258,1911.10,150,0.00,200,2261.10,3
DP0018,2,0;956;987;780;1098;672;748;897;0,08:00,15:28,179347,2510.86,50,7.60,300,2868.46,1
DP0019,1,0;850;1013;938;806;814;1004;952;737;880;1032;0,08:34,17:09,174083,2089.00,150,0.00,200,2439.00,3
DP0020,2,0;1025;851;696;1039;822;702;669;0,08:00,16:38,179108,2507.51,100,35.60,300,2943.11,2
DP0021,2,0;788;770;1029;872;681;1050;818;971;0,08:02,15:23,151558,2121.81,100,5.60,300,2527.41,2
DP0022,1,0;947;826;726;1091;975;714;949;1046;0,09:14,15:58,131957,1583.48,100,0.00,200,1883.48,2
DP0023,1,0;849;698;946;768;1100;961;795;1093;0,08:42,16:49,183732,2204.78,100,8.80,200,2513.58,2
DP0024,1,0;819;981;766;1010;935;896;704;1044;0,08:45,16:35,187392,2248.70,100,0.00,200,2548.70,2
DP0025,1,0;925;1035;777;781;709;909;1049;0,08:32,15:21,95966,1151.59,100,32.00,200,1483.59,2
DP0026,1,0;893;747;839;723;1021;940;945;844;799;0,08:00,16:08,165531,1986.37,50,5.60,200,2241.97,1
DP0027,1,0;996;1023;746;894;993;675;1063;0,08:25,16:09,120412,1444.94,100,42.00,200,1786.94,2
