trans_code,vehicle_type,dist_seq,distribute_lea_tm,distribute_arr_tm,distance,trans_cost,charge_cost,wait_cost,fixed_use_cost,total_cost,charge_cnt
DP0001,1,0;190;42;1075;162;278;274;12;77;1016;0,08:44,17:25,191285,2295.42,100,7.20,200,2602.62,2
DP0002,1,0;288;14;232;88;71;44;66;1061;212;1015;0,09:22,16:54,122950,1475.40,100,0.00,200,1775.40,2
DP0003,2,0;188;240;15;1057;140;218;116;322;1070;1019;0,08:24,17:07,153975,2155.65,150,13.20,300,2618.85,3
DP0004,1,0;194;70;302;1009;210;242;96;76;1036;0,08:00,17:01,178319,2139.83,100,21.20,200,2461.03,2
DP0005,2,0;272;251;81;1084;255;99;1022;283;1017;0,08:17,15:18,121329,1698.61,150,0.00,300,2148.61,3
DP0006,1,0;324;321;183;34;69;222;1050;0,10:28,16:47,137623,1651.48,50,0.00,200,1901.48,1
DP0007,1,0;327;256;215;56;1031;53;130;307;0,08:09,15:30,142885,1714.62,50,10.40,200,1975.02,1
DP0008,1,0;281;92;216;64;29;304;0,09:48,15:19,83999,1007.99,0,19.20,200,1227.19,0
DP0009,1,0;294;303;72;1033;206;236;108;90;74;1034;0,08:46,17:13,168128,2017.54,100,0.80,200,2318.34,2
DP0010,1,0;198;52;192;1089;300;3;241;55;1098;0,08:33,16:45,181338,2176.06,100,0.00,200,2476.06,2
DP0011,1,0;128;1028;246;275;187;301;114;141;0,09:07,15:37,115721,1388.65,50,2.80,200,1641.45,1
DP0012,1,0;244;132;1093;156;245;1011;221;1099;0,08:00,15:37,176497,2117.96,150,0.00,200,2467.96,3
DP0013,1,0;31;273;1091;186;204;181;314;229;0,08:48,15:18,121703,1460.44,50,0.00,200,1710.44,1
DP0014,1,0;45;328;282;214;85;1014;41;259;191;276;1067;0,08:29,17:06,126150,1513.80,100,12.00,200,1825.80,2
DP0015,1,0;254;36;97;32;265;10;1024;125;1013;0,09:19,16:41,120341,1444.09,100,8.80,200,1752.89,2
DP0016,1,0;291;7;133;40;217;93;33;136;1012;0,09:08,16:00,104601,1255.21,50,4.40,200,1509.61,1
DP0017,2,0;233;1026;332;142;316;155;325;68;1088;87;1037;0,08:24,17:33,179623,2514.72,150,0.00,300,2964.72,3
DP0018,1,0;134;131;249;1029;326;152;1020;305;1051;0,08:18,16:53,150948,1811.38,150,22.80,200,2184.18,3
DP0019,1,0;102;277;123;73;1041;263;297;112;1054;0,08:26,16:12,149276,1791.31,100,5.20,200,2096.51,2
DP0020,1,0;1038;145;1044;290;1090;82;119;1094;28;1080;0,08:00,16:52,148157,1777.88,250,20.00,200,2247.88,5
DP0021,2,0;109;137;196;1047;331;317;1062;165;1095;0,08:13,16:17,152183,2130.56,150,10.40,300,2590.96,3
DP0022,1,0;153;207;329;168;78;1078;23;182;293;1055;0,08:33,16:28,129010,1548.12,100,6.00,200,1854.12,2
DP0023,1,0;61;262;213;1;1039;209;49;46;1081;0,08:28,16:53,168145,2017.74,100,11.20,200,2328.94,2
DP0024,2,0;101;126;296;25;1006;172;1073;211;1059;0,08:34,15:58,140970,1973.58,150,0.00,300,2423.58,3
DP0025,1,0;113;238;100;6;89;1060;86;1086;0,08:36,16:50,146639,1759.67,100,29.20,200,2088.87,2
DP0026,1,0;129;312;21;239;1074;110;260;139;1008;0,08:00,16:39,194347,2332.16,100,3.60,200,2635.76,2
DP0027,1,0;144;271;1065;150;1023;289;309;200;1032;0,08:43,16:06,139360,1672.32,150,0.00,200,2022.32,3
DP0028,1,0;111;185;179;1083;51;19;13;1077;0,08:00,16:19,202864,2434.37,100,4.80,200,2739.17,2
DP0029,1,0;174;143;26;39;1010;235;65;295;83;1082;0,08:00,17:25,195964,2351.57,100,9.60,200,2661.17,2
DP0030,1,0;247;59;1066;1018;279;63;248;0,08:48,14:40,115914,1390.97,100,0.00,200,1690.97,2
DP0031,2,0;120;234;258;1058;173;91;1048;269;1030;0,08:00,16:15,182208,2550.91,150,0.00,300,3000.91,3
DP0032,2,0;184;67;285;1100;11;80;0,08:03,15:38,181705,2543.87,50,21.20,300,2915.07,1
DP0033,1,0;224;115;1002;159;225;280;299;104;1005;0,08:03,16:55,170259,2043.11,100,21.20,200,2364.31,2
DP0034,1,0;167;313;1087;118;151;178;330;95;323;1079;0,08:19,16:43,149705,1796.46,100,7.60,200,2104.06,2
DP0035,1,0;189;175;1068;197;1040;252;219;146;1004;0,08:40,17:21,204044,2448.53,150,0.00,200,2798.53,3
DP0036,1,0;103;20;1056;306;228;105;308;298;135;1064;0,08:00,16:40,179424,2153.09,100,0.00,200,2453.09,2
DP0037,1,0;261;16;147;1045;50;315;270;75;201;1097;0,08:00,17:27,197597,2371.16,100,10.00,200,2681.16,2
DP0038,1,0;157;243;22;5;267;1025;169;127;24;1049;0,08:24,17:01,176815,2121.78,100,0.00,200,2421.78,2
DP0039,1,0;220;170;1072;161;124;230;0,08:51,15:11,69415,832.98,50,45.20,200,1128.18,1
DP0040,1,0;227;203;62;121;1007;48;231;138;1071;0,08:00,16:41,186240,2234.88,100,8.80,200,2543.68,2
DP0041,2,0;250;266;310;226;199;177;160;1076;287;1003;0,08:39,16:31,139580,1954.12,100,0.00,300,2354.12,2
DP0042,1,0;18;1042;60;117;286;202;1052;27;1096;0,08:52,16:37,156699,1880.39,150,0.80,200,2231.19,3
DP0043,2,0;9;17;54;107;319;164;94;257;0,08:34,14:57,99973,1399.62,0,7.20,300,1706.82,0
DP0044,1,0;58;30;35;253;122;1053;195;205;0,08:33,15:39,141549,1698.59,50,4.80,200,1953.39,1
DP0045,2,0;149;320;1001;176;268;333;2;223;166;1043;0,08:16,16:34,158589,2220.25,100,0.00,300,2620.25,2
DP0046,1,0;57;84;79;1035;292;38;208;311;1069;0,09:17,16:48,121869,1462.43,100,12.00,200,1774.43,2
DP0047,1,0;264;193;1092;163;47;148;0,10:37,15:47,101745,1220.94,50,1.60,200,1472.54,1
DP0048,1,0;4;237;158;284;106;1063;171;43;8;0,08:43,15:12,93102,1117.22,50,0.80,200,1368.02,1
DP0049,1,0;1021;98;318;1085;1027;0,08:00,14:17,128778,1545.34,150,28.00,200,1923.34,3
DP0050,2,0;37;154;1046;180;0,10:45,13:46,49016,686.22,50,0.00,300,1036.22,1
