trans_code,vehicle_type,dist_seq,distribute_lea_tm,distribute_arr_tm,distance,trans_cost,charge_cost,wait_cost,fixed_use_cost,total_cost,charge_cnt
DP0001,1,0;931;956;985;1010;957;1045;915;1068;0,08:00,17:27,198055,2376.66,150,34.40,200,2761.06,3
DP0002,1,0;997;1004;973;1090;936;1094;960;965;1071;0,08:46,16:58,151054,1812.65,200,14.40,200,2227.05,4
DP0003,1,0;927;946;968;1089;935;1074;952;942;994;1098;0,08:11,17:16,199133,2389.60,150,0.00,200,2739.60,3
DP0004,1,0;941;999;966;1033;1075;905;944;983;895;1031;0,08:22,17:33,204076,2448.91,150,0.40,200,2799.31,3
DP0005,1,0;930;943;992;902;1035;904;920;1046;0,08:52,16:35,167992,2015.90,100,6.80,200,2322.70,2
DP0006,1,0;953;1093;916;1041;1056;962;984;993;1082;0,08:00,16:00,171024,2052.29,200,0.00,200,2452.29,4
DP0007,1,0;907;910;939;1037;945;940;1014;918;1036;0,09:35,17:09,138407,1660.88,150,4.80,200,2015.68,3
DP0008,1,0;996;914;1085;894;1006;937;948;1058;0,08:25,15:54,170797,2049.56,150,0.00,200,2399.56,3
DP0009,1,0;938;950;1081;917;924;995;1040;961;1053;0,08:18,17:00,185503,2226.04,150,10.00,200,2586.04,3
DP0010,1,0;991;934;1048;951;969;898;929;906;1099;0,08:47,17:10,177970,2135.64,100,6.00,200,2441.64,2
DP0011,1,0;988;981;926;1039;1100;896;1007;892;1001;0,08:43,17:21,198856,2386.27,200,1.60,200,2787.87,4
DP0012,1,0;911;922;977;921;1091;980;949;1055;0,08:39,16:05,142441,1709.29,100,12.00,200,2021.29,2
DP0013,1,0;955;891;893;1025;979;1047;928;1020;0,08:31,17:08,177997,2135.96,150,22.80,200,2508.76,3
DP0014,1,0;933;987;958;1083;963;1009;912;1097;0,08:00,16:10,204980,2459.76,150,0.00,200,2809.76,3
DP0015,2,0;903;986;1002;900;901;959;909;971;1028;0,08:09,16:02,165673,2319.42,100,0.00,300,2719.42,2
DP0016,1,0;1012;932;0,08:00,13:46,35181,422.17,50,97.20,200,769.37,1
DP0017,1,0;899;972;1070;1029;978;1000;913;967;1019;0,08:38,16:51,182251,2187.01,150,0.00,200,2537.01,3
DP0018,1,0;982;1016;908;1011;976;890;964;919;1030;0,08:07,16:36,176848,2122.18,150,9.20,200,2481.38,3
DP0019,1,0;989;998;925;1072;954;1017;0,08:25,13:47,107550,1290.60,100,3.60,200,1594.20,2
DP0020,1,0;947;1096;974;975;897;990;923;970;1057;0,09:14,17:19,139169,1670.03,100,17.20,200,1987.23,2
